Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Portugal ,Primeira Liga,(LIS),Pote ,631,9,2.99,1.96,2019
Portugal ,Primeira Liga,,Tiquinho Soares,1867,10,9.43,1.07,2019
Portugal ,Primeira Liga,(FAR),Eduardo Mancha,396,2,0.96,0.48,2019
Portugal ,Primeira Liga,(BRA),Paulinho ,2451,17,14.96,1.47,2019
Portugal ,Primeira Liga,,Alex Telles,2732,11,8.05,0.59,2019
Portugal ,Primeira Liga,(BRA),Bruno Viana,780,2,1.31,0.24,2019
Portugal ,Primeira Liga,(AVE),Mehrdad Mohammadi,2495,8,7.35,0.72,2019
Portugal ,Primeira Liga,(FAM),Carlos Valenzuela,575,2,1.03,0.5,2019
Portugal ,Primeira Liga,(FAM),Ruben Lameiras,624,4,3.42,1.37,2019
Portugal ,Primeira Liga,(POR),Moussa Marega,2471,12,7.28,1.27,2019
Portugal ,Primeira Liga,(BEN),Gian-Luca Waldschmidt,605,4,3.57,0.94,2019
Portugal ,Primeira Liga,(GIL),Samuel Lino,591,3,2.18,0.8,2019
Portugal ,Primeira Liga,(VGU),Andre Andre,645,2,1.7,0.29,2019
Portugal ,Primeira Liga,(POR),Mehdi Taremi,2537,18,16.82,1.12,2019
Portugal ,Primeira Liga,(TOT),Carlos Vinicius,1928,18,12.38,1.33,2019
Portugal ,Primeira Liga,(POR),Sergio Oliveira,642,4,2.09,1.18,2019
Portugal ,Primeira Liga,(FER),Douglas Tanque,2054,11,7.57,1.11,2019
Portugal ,Primeira Liga,,Fabio Abreu,2570,13,11.09,0.85,2019
Portugal ,Primeira Liga,(NAC),Brayan Riascos,736,3,2.17,1.42,2019
Portugal ,Primeira Liga,,Alex Telles ,280,2,2.36,1.7,2019
Portugal ,Primeira Liga,,Fabio Martins,2633,12,9.15,1.3,2019
Portugal ,Primeira Liga,(BEN),Haris  Seferovic,337,6,3.33,1.97,2019
Portugal ,Primeira Liga,(FER),Douglas Tanque,644,2,2.51,1.33,2019
Portugal ,Primeira Liga,(FEY),Joao Teixeira,1416,8,3.58,0.94,2019
